,fpc.ENDO2
RAB9A,179869.870981349
RABEPK,179869.870981349
ITPR1,179869.870981349
ITPR3,179869.870981349
ANXA11,179869.880808597
CD6,179869.880879858
TOR1A,179869.881332113
CYTH2,179869.882097973
DBNL,179869.882097973
EPN2,179869.883317288
MYO1G,179869.884280446
CLN3,179869.884280446
HIP1,179869.887469771
SORL1,179869.887708728
SORT1,179869.887708728
SNX32,179869.888731763
LDLRAP1,179869.889259212
PCSK9,179869.889259212
RAB5C,179869.89024178
SNX33,179869.891509387
LGALS3BP,179869.893082757
APOL1,179869.894139869
APOC1,179869.894139869
GULP1,179869.897787386
VTN,179869.901759091
CD3G,179869.904054744
LIMK1,179869.904869286
RIN3,179869.911086551
AHI1,179869.914009172
TOM1,179869.927645041
VRK2,179869.948355918
SYP,179869.955244571
KIF3A,179869.955244571
AMBP,179869.955244571
ELMO2,179869.955244571
SNX18,179869.955244571
WIPF3,179869.955244571
IGHG1,179869.990711169
IGHG3,179869.990711169
ATAD1,179869.990711169
HYOU1,179869.990711169
RAB22A,359739.771666976
SGIP1,359741.752519114
CORO1C,359741.763328659
TUB,359741.786357999
WASF2,359741.794141836
ARHGAP27,359741.838276168
HOOK2,359741.857162008
AHSG,359741.865629278
SNX5,363180.007347477
ELMO1,365383.930082593
DNM3,378085.036985749
CD24,379413.594517224
CBLL1,382811.109436384
TGM2,398879.266163374
ANKFY1,539610.31308132
ABI1,539610.390736125
WIPF2,553238.914113036
TRIP10,568487.978141314
FNBP1L,568487.978141314
FGR,584296.979041764
FNBP1,585557.118106439
CLTCL1,620119.758460528
TYRO3,631722.970619614
VLDLR,632579.377763349
SCFD1,646950.711794064
MYO1C,646950.711794064
RABEP1,672599.699300528
CAV2,723628.40656782
APOB,813164.681821209
PLCG2,862714.790453264
SNX6,899349.746079854
GNB2L1,965290.102243755
REPS1,993944.24740951
MICALL1,1006073.93696972
VAV3,1025719.47236848
VAV2,1065828.77279724
ARPC2,1104709.92603392
HIP1R,1191845.08208588
CD5,1191845.09719021
ANXA3,1191845.103393
STON2,1191845.10996542
ARF6,1191845.18386834
LRSAM1,1191845.18386834
ARPC4,1284579.15460605
RAB5B,1371715.00666385
APOE,1404335.72528256
DOCK1,1441480.78624727
ARPC5,1453082.85873429
ABCA1,1530005.34810144
SH3GL3,1540533.33961543
SNX17,1694125.8114804
SYNJ1,1729510.41956328
SNX1,1731455.4508896
PACSIN2,1773849.36157339
PACSIN3,1773849.36157339
PACSIN1,1773849.36157339
PLD2,1798700.70610597
IGKC,1852929.39162588
ARPC3,1858602.54707571
EHD1,1926268.87773519
SNX9,1934254.25762251
SNX2,1976736.1181693
TFRC,2197369.94956187
WIPF1,2241078.30879801
PICALM,2376228.05257385
SH3GL1,2455185.03755015
ACTB,2532853.88747288
CD36,2701597.26878674
LDLR,2853648.08976585
EEA1,2886069.14590829
APOA1,3043370.64494343
HCK,3072872.69642253
PLCG1,3097830.34463093
LRPAP1,3131978.52259638
RAC1,3166398.90397986
CALR,3195716.47688621
CRK,3230401.18358212
UNC119,3361717.60931363
AMPH,3470464.43082622
NCK1,3574402.53284383
ITSN2,3901278.56995516
PAK1,4390504.72546727
LYN,4428713.50055008
LRRK2,5461767.91700328
FYN,5789922.42758134
ABL1,5952962.08200355
DNM2,5961966.10491819
LRP1,7790889.74732482
WASL,7880703.07970179
TNK2,7902213.60220725
CDC42,9159939.1765314
SRC,9801113.08860443
GRB2,15203985.3630935
EGFR,35634400.3597014
