,rcE2
ITPR3,0.0160711927008952
SNX18,0.0458197752063057
TGM2,0.0462771347062239
GULP1,0.0584115743629186
CBLL1,0.0738324262308024
SORL1,0.0961062558553233
RIN3,0.10642086843553
SORT1,0.106708372191708
FNBP1,0.107925415714897
LDLRAP1,0.110562592202651
DBNL,0.111201642971933
LRSAM1,0.114020510215159
ABI1,0.117057180356937
ANXA11,0.121417823600046
VRK2,0.125412342335795
ELMO2,0.132012418131892
VAV2,0.132201550408577
ATAD1,0.132810889449892
SYP,0.13324244924446
CD6,0.134372321681555
ANXA3,0.135151461148419
AHSG,0.139123987157729
VAV3,0.142532305311731
WASF2,0.145289493073605
RABEPK,0.149694943491766
EPN2,0.150080073033421
CLTCL1,0.150100205202989
APOL1,0.151326941000396
TUB,0.152738461876243
REPS1,0.153317754836811
ABCA1,0.153471632101075
IGHG3,0.158807896204627
HOOK2,0.159600024281927
VLDLR,0.1601458455419
WIPF1,0.164000623770422
SGIP1,0.164690934467907
RAB9A,0.164840429775018
RAB5C,0.167076741691885
DNM3,0.169962924175676
RABEP1,0.172111877100033
HIP1,0.172467473181883
WIPF3,0.173283889554871
PLCG2,0.174524007547862
LIMK1,0.174748519513772
FNBP1L,0.17672983275861
FGR,0.177222709253284
ELMO1,0.17841065605739
TFRC,0.178985845778719
SNX6,0.182323492640085
ITPR1,0.182428475384719
CD24,0.193572967384871
SNX33,0.196194410878994
AHI1,0.196765529907676
SNX1,0.19800889878692
TOM1,0.198326399208892
MICALL1,0.199310948900384
RAB5B,0.199422368021233
TYRO3,0.199861070113125
CALR,0.200719221374827
TOR1A,0.201253250025062
LRPAP1,0.201303922738861
STON2,0.201380602272724
WIPF2,0.202052022728074
MYO1G,0.202401282228503
ARPC5,0.202487695074451
EHD1,0.203169740117572
CD5,0.205237478155699
ANKFY1,0.205278417421009
GNB2L1,0.205554233574774
IGKC,0.207684397995459
SNX5,0.209540952877375
SCFD1,0.212873277656797
APOB,0.21300619986837
ARHGAP27,0.215958638602589
SNX9,0.216371982095203
RAB22A,0.220205340024229
MYO1C,0.224051409094545
APOE,0.225314701437841
CD36,0.226526400865262
PCSK9,0.22764852162953
IGHG1,0.228727632007631
CD3G,0.229713526077251
SH3GL3,0.230793485932326
SNX32,0.233919618422998
APOC1,0.236983474590735
CORO1C,0.237573582665673
SNX17,0.240848849428957
HIP1R,0.247330866402958
AMBP,0.252322627775254
KIF3A,0.252461497677354
ARPC2,0.253912442400882
LGALS3BP,0.255351186229685
PLD2,0.257515490017398
SYNJ1,0.26428656870103
ARPC4,0.264547212005599
ARPC3,0.265425530464627
CLN3,0.266595616928075
LRP1,0.266628166364983
PACSIN1,0.268734536144323
DOCK1,0.271817286873065
CYTH2,0.272729728462687
TRIP10,0.27436057322806
VTN,0.275557797140321
PACSIN2,0.278231567573256
ARF6,0.280637095218363
CAV2,0.281424810709155
HYOU1,0.286000412533863
LDLR,0.29294628573599
AMPH,0.298159017684585
ACTB,0.298293521631423
APOA1,0.298342493713848
PACSIN3,0.303480418285973
FYN,0.308329601654616
EEA1,0.309290004925725
SNX2,0.313491902180954
LRRK2,0.315847226014829
RAC1,0.316850306795814
PICALM,0.324159507785266
HCK,0.325322198776464
LYN,0.342173911004136
ITSN2,0.349753259503607
SH3GL1,0.354083280016927
CRK,0.354084706306414
PAK1,0.35526188487879
PLCG1,0.359648580560755
ABL1,0.361571590372543
NCK1,0.38625143698796
UNC119,0.396105948987514
DNM2,0.417929962574187
WASL,0.516798242672527
SRC,0.519872438605565
CDC42,0.530951632131081
TNK2,0.569306852714642
GRB2,0.80119979681486
EGFR,1
