,rcE
SYT16,0.175451951584848
APOA1,0.192355198279152
VPS33A,0.197606032461443
SYTL1,0.218243477941449
SYTL2,0.22310422079773
EXOC6,0.253387587645203
VPS18,0.257316468702081
STXBP5,0.271173282999355
TGFB1,0.273791212837933
CD63,0.275999772978519
STX19,0.287024816307696
CD36,0.293342965066162
PPIA,0.316769448959753
SNX4,0.324810543161729
ANXA3,0.32618702618048
TMEM79,0.33011025300379
SYTL5,0.33385516651244
HAP1,0.33503579877741
CPLX2,0.337611680548422
VAMP3,0.342979028314214
GPLD1,0.3437935043547
EXOC3,0.349831660673779
STX1B,0.353935985605916
EXOC5,0.36046923689746
LRRK2,0.361088433318633
SCFD1,0.361692398293523
RAB3GAP1,0.36301531155392
RAB9A,0.368301289959212
STX11,0.369835790061965
SNX6,0.373351094424452
RABEPK,0.374300684910213
VAMP5,0.377140712304779
VTI1B,0.378442020538634
EXOC7,0.392996447427863
TGFB2,0.394886620435196
SNAPIN,0.397521889359361
SYT14,0.399350976345362
VAMP4,0.402667194458584
ARFGEF1,0.412362512292378
COPS5,0.415250564868629
STX2,0.428590899821202
SEC22A,0.433535844682537
RAB37,0.43532983923005
RAB11B,0.436159474729622
RAB11FIP5,0.438886084805379
RIMS2,0.45198492284092
CD9,0.45252660778538
STXBP2,0.477802907676572
RAB11FIP1,0.482528818947909
ARFGEF2,0.48318614103156
NAPB,0.484506151180069
ACTN4,0.495016139126169
ACTN2,0.502404783421939
RAB3D,0.515007052416796
RAB25,0.520995757455739
RAB26,0.530934611638095
ACTN1,0.533740253141976
SNAP29,0.595796037442467
RIMS1,0.629563258344708
RAB3C,0.673461298114299
RAB3B,0.677387998497375
RAB27B,0.693029062071664
RPH3A,0.723368403253535
STX3,0.755403748652369
SYTL4,0.799377722846282
RPH3AL,0.803443141322688
STX1A,0.853349874210434
STXBP1,1
